,accession,study_accession,pmid/doi,apis_species,apis_subspecies,geographic_location_manually_curated,continent,sex_manually_curated,class_manually_curated,sampling_year_manually_curated,pooled_samples,notes,read_count,base_count,depth,sample_average_depth,library_strategy,coverage,library_source,library_layout,run_accession,xref_articles,SRA accession,experiment_accession,parent_study,experiment_title,study_title,project_name,sample_title,sample_description,tax_id,instrument_platform,instrument_model,nominal_length,nominal_sdev,fastq_aspera,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_md5,sra_aspera,sra_bytes,sra_ftp,sra_galaxy,sra_md5,submitted_aspera,submitted_bytes,submitted_format,submitted_ftp,submitted_galaxy,submitted_host_sex,submitted_md5,first_created,first_public,last_updated
98,SAMN08038345,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5704527,1426131750,6.24587409659763,6.24587409659763,WGS,,GENOMIC,PAIRED,SRR6301286,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696316,SRX3402332,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/006/SRR6301286/SRR6301286_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/006/SRR6301286/SRR6301286_2.fastq.gz,536463269;499705692,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301286/SRR6301286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301286/SRR6301286_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301286/SRR6301286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301286/SRR6301286_2.fastq.gz,b1eb0cc38d61c0b81c9cb70cf2d5b2be;8d98214461cdb0de887c11edde4f57fc,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/006/SRR6301286,729788846.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/006/SRR6301286,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/006/SRR6301286,f7f9f1c982185676c317f588edb10e50,,,,,,,,2018-06-28,2018-06-28,2018-06-28
99,SAMN08038346,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6790986,1697746500,7.43543567201227,7.43543567201227,WGS,,GENOMIC,PAIRED,SRR6301285,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696317,SRX3402333,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/005/SRR6301285/SRR6301285_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/005/SRR6301285/SRR6301285_2.fastq.gz,614886189;642841273,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301285/SRR6301285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301285/SRR6301285_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301285/SRR6301285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301285/SRR6301285_2.fastq.gz,b405353346d0f68693d3d93d467b64b4;803a0e4be19aed81a6239cb1aabcd5c1,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/005/SRR6301285,889350423.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/005/SRR6301285,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/005/SRR6301285,d4fda9b9727b005799545fa70f3f4e5d,,,,,,,,2018-06-28,2018-06-28,2018-06-28
100,SAMN08038347,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6294919,1573729750,6.89229300208067,6.89229300208067,WGS,,GENOMIC,PAIRED,SRR6301319,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696295,SRX3402299,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/009/SRR6301319/SRR6301319_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/009/SRR6301319/SRR6301319_2.fastq.gz,562156982;603626940,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301319/SRR6301319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301319/SRR6301319_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301319/SRR6301319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301319/SRR6301319_2.fastq.gz,9366a7089bc78838dad1714098f4bca9;04abe3fc151575b7440697ebc5e85420,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/009/SRR6301319,823906804.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/009/SRR6301319,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/009/SRR6301319,0df6ddc1be2accc7f66f7c2698c46458,,,,,,,,2018-06-28,2018-06-28,2018-06-28
101,SAMN08038348,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6739976,1684994000,7.37958493492795,7.37958493492795,WGS,,GENOMIC,PAIRED,SRR6301320,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696282,SRX3402298,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/000/SRR6301320/SRR6301320_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/000/SRR6301320/SRR6301320_2.fastq.gz,650124184;609763819,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301320/SRR6301320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301320/SRR6301320_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301320/SRR6301320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301320/SRR6301320_2.fastq.gz,ca5a9c8c194fd1fa0ade292cd69e3fbd;64fa63f58bb77ac909492bf5b89ef17a,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/000/SRR6301320,892385956.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/000/SRR6301320,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/000/SRR6301320,07a3dadb31e3f8f66f9b6cc773a2d70e,,,,,,,,2018-06-28,2018-06-28,2018-06-28
102,SAMN08038349,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5540895,1385223750,6.06671377880538,6.06671377880538,WGS,,GENOMIC,PAIRED,SRR6301321,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696281,SRX3402297,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/001/SRR6301321/SRR6301321_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/001/SRR6301321/SRR6301321_2.fastq.gz,480946046;501866212,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301321/SRR6301321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301321/SRR6301321_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301321/SRR6301321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301321/SRR6301321_2.fastq.gz,554245bc1c721bb10703c14f6cd3d405;f22888d91b3a654bc92c0648d3f4931f,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/001/SRR6301321,689814278.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/001/SRR6301321,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/001/SRR6301321,d2e11ddb74f6520891c4380b2c1623b7,,,,,,,,2018-06-28,2018-06-28,2018-06-28
103,SAMN08038350,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,9698344,2424586000,10.618695567484,10.618695567484,WGS,,GENOMIC,PAIRED,SRR6301323,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696289,SRX3402295,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/003/SRR6301323/SRR6301323_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/003/SRR6301323/SRR6301323_2.fastq.gz,863933976;930254757,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301323/SRR6301323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301323/SRR6301323_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301323/SRR6301323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301323/SRR6301323_2.fastq.gz,a79c051990093253708b377ee1722976;0b7029dfa3e9b0af397695ec5fc692dc,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/003/SRR6301323,1414160664.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/003/SRR6301323,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/003/SRR6301323,8b51731d314c8655c5116ebc407c6177,,,,,,,,2018-06-28,2018-06-28,2018-06-28
104,SAMN08038351,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5296847,1324211750,5.79950615904542,5.79950615904542,WGS,,GENOMIC,PAIRED,SRR6301315,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696286,SRX3402303,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/005/SRR6301315/SRR6301315_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/005/SRR6301315/SRR6301315_2.fastq.gz,454399242;499833298,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301315/SRR6301315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301315/SRR6301315_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301315/SRR6301315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301315/SRR6301315_2.fastq.gz,58377aca0c66fcd10f9d7c5d4fc2ac6a;276be48a3c4bfcc2fd3b1d3c91d55184,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/005/SRR6301315,670793748.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/005/SRR6301315,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/005/SRR6301315,4c329327bfa112f0c0e78f2053acbbba,,,,,,,,2018-06-28,2018-06-28,2018-06-28
105,SAMN08038352,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6872882,1718220500,7.52510342273288,7.52510342273288,WGS,,GENOMIC,PAIRED,SRR6301316,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696285,SRX3402302,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/006/SRR6301316/SRR6301316_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/006/SRR6301316/SRR6301316_2.fastq.gz,615397986;609854768,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301316/SRR6301316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301316/SRR6301316_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301316/SRR6301316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301316/SRR6301316_2.fastq.gz,0208c5ff60dbabef8c7da7559113d65a;c6ebf0ca9ceb01dcb8492d56093af9e2,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/006/SRR6301316,859012521.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/006/SRR6301316,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/006/SRR6301316,932e3da2fec07c336a9c5a63e32c7b73,,,,,,,,2018-06-28,2018-06-28,2018-06-28
106,SAMN08038353,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6098867,1524716750,6.67763609741774,6.67763609741774,WGS,,GENOMIC,PAIRED,SRR6301313,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696288,SRX3402305,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/003/SRR6301313/SRR6301313_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/003/SRR6301313/SRR6301313_2.fastq.gz,579715954;532310966,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301313/SRR6301313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301313/SRR6301313_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301313/SRR6301313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301313/SRR6301313_2.fastq.gz,32271a5516b4b14637718fae0244de42;e2138d2bdcb7a4dec4f8f40abb1e549d,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/003/SRR6301313,782973109.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/003/SRR6301313,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/003/SRR6301313,06acbace5065f68f61a9bbb27221dee7,,,,,,,,2018-06-28,2018-06-28,2018-06-28
107,SAMN08038354,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6579751,1644937750,7.20415493396076,7.20415493396076,WGS,,GENOMIC,PAIRED,SRR6301314,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696287,SRX3402304,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/004/SRR6301314/SRR6301314_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/004/SRR6301314/SRR6301314_2.fastq.gz,619593566;581465046,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301314/SRR6301314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301314/SRR6301314_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301314/SRR6301314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301314/SRR6301314_2.fastq.gz,aef38b15898a22bcfa6ca5a2104f405b;d792dabd4021399be3464c4f632046f2,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/004/SRR6301314,846753410.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/004/SRR6301314,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/004/SRR6301314,b123aafbbd2ca1ab15cdba3ec063bfba,,,,,,,,2018-06-28,2018-06-28,2018-06-28
108,SAMN08038355,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5984102,1496025500,6.55198015071154,6.55198015071154,WGS,,GENOMIC,PAIRED,SRR6301284,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696321,SRX3402334,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/004/SRR6301284/SRR6301284_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/004/SRR6301284/SRR6301284_2.fastq.gz,534024440;562594647,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301284/SRR6301284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301284/SRR6301284_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301284/SRR6301284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301284/SRR6301284_2.fastq.gz,14f3ccb9aa96d5bfa12a37e5814ee550;2dff1829de45fd5a314193626939c194,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/004/SRR6301284,775554376.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/004/SRR6301284,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/004/SRR6301284,13e7516887ed8d8f8191984d249ae6cb,,,,,,,,2018-06-28,2018-06-28,2018-06-28
109,SAMN08038356,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5795344,1448836000,6.34530943064561,6.34530943064561,WGS,,GENOMIC,PAIRED,SRR6301322,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696280,SRX3402296,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/002/SRR6301322/SRR6301322_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/002/SRR6301322/SRR6301322_2.fastq.gz,531076748;503458194,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301322/SRR6301322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301322/SRR6301322_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301322/SRR6301322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301322/SRR6301322_2.fastq.gz,05f1af6b02988cb306229e1260ab671c;2c02e63aea252c0050c129449fdd82b8,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/002/SRR6301322,725852965.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/002/SRR6301322,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/002/SRR6301322,3a7e6bfb8d428354740ecf412f0e2307,,,,,,,,2018-06-28,2018-06-28,2018-06-28
110,SAMN08038357,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,6618865,1654716250,7.24698076674485,7.24698076674485,WGS,,GENOMIC,PAIRED,SRR6301371,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696231,SRX3402247,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/001/SRR6301371/SRR6301371_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/001/SRR6301371/SRR6301371_2.fastq.gz,634692718;595448835,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301371/SRR6301371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301371/SRR6301371_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301371/SRR6301371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301371/SRR6301371_2.fastq.gz,bb4ad1cf8390c651af8f227d16cdced5;9ddd4d31de09d765f219cdb6992f9824,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/001/SRR6301371,871393888.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/001/SRR6301371,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/001/SRR6301371,376335f05168161e61b238f9f2fe90c8,,,,,,,,2018-06-28,2018-06-28,2018-06-28
111,SAMN08038358,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5307706,1326926500,5.81139565432083,5.81139565432083,WGS,,GENOMIC,PAIRED,SRR6301370,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696232,SRX3402248,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/000/SRR6301370/SRR6301370_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/000/SRR6301370/SRR6301370_2.fastq.gz,502428325;466107298,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301370/SRR6301370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301370/SRR6301370_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301370/SRR6301370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301370/SRR6301370_2.fastq.gz,b6ed068020264b3b3fb8345e4c2e7965;afd73dc3ffccc07f3d24cd1b95554482,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/000/SRR6301370,683292839.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/000/SRR6301370,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/000/SRR6301370,417dd67b6cde2fe3a84365966ee210e9,,,,,,,,2018-06-28,2018-06-28,2018-06-28
112,SAMN08038359,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,4761875,1190468750,5.21376648997118,5.21376648997118,WGS,,GENOMIC,PAIRED,SRR6301373,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696229,SRX3402245,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_2.fastq.gz,459976049;426201633,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_2.fastq.gz,b4b8e67d229dce8710efb58ff879aea3;f9e9329544ef787f1a9fec9a43260730,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/003/SRR6301373,626863802.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/003/SRR6301373,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/003/SRR6301373,f85187dcd52234736453f6b02c5d4f42,,,,,,,,2018-06-28,2018-06-28,2018-06-28
113,SAMN08038360,PRJNA418874,29931308,cerana,unknown,"Sichuan, China",Asia,female,worker,2018,unknown,,5027749,1256937250,5.50487134924502,5.50487134924502,WGS,,GENOMIC,PAIRED,SRR6301372,http://europepmc.org/abstract/PMC/PMC6107058,SRS2696230,SRX3402246,,Illumina HiSeq 2500 sequencing; Resequencing of Apis cerana: adult female body,Whole genome resequencing of Apis cerana in China,,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,7461,ILLUMINA,Illumina HiSeq 2500,,,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_2.fastq.gz,444962905;480714088,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_2.fastq.gz,ca0e7170b3b4f057df24ba3995dd6b32;aa91d699a9635dc9dd208594986cc7d9,fasp.sra.ebi.ac.uk:/vol1/srr/SRR630/002/SRR6301372,654632706.0,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/002/SRR6301372,ftp.sra.ebi.ac.uk/vol1/srr/SRR630/002/SRR6301372,4d5d1a4df499e6301346a9b39c4f633e,,,,,,,,2018-06-28,2018-06-28,2018-06-28
